проверка; UTF-8 (от англ. Unicode Transformation Format — формат преобразования Юникода) — в настоящее время распространённая кодировка, реализующая представление Юникода, совместимое с 8-битным кодированием текста. Нашла широкое применение в операционных системах и веб-пространстве.
synchronization; Synchronization is a problem in timekeeping which requires the coordination of events to operate a system in unison. The familiar conductor of an orchestra serves to keep the orchestra in time. Systems operating with all their parts in synchrony are said to be synchronous or in sync. Some systems may be only approximately synchronized, or plesiochronous. For some applications relative offsets between events need to be determined, for others only the order of the event is important.;
authoring; Authoring is part of the Creation/Collection? initial phase of Content Management. <br /><br />Authoring must be as easy as possible so that content experts in an organization can directly enter their informaion, which will then be forwarded by a workflow system to others for copy editing, approvals?, and publishing?. ;
record repository management; Records management is a related discipline to content management, and is sometimes included as part of the broader concept of Enterprise Content Management. <br /><br />The Australian Standard on Records Management (AS 4390) defines recordkeeping systems as 'information systems which capture, maintain and provide access to records over time'. While historically this meant keeping track of paper files, electronic documents (such as Word files, web pages or e-mails) are now also considered corporate records. Records management systems have grown to reflect this, and provide a range of features to store and retrieve electronic materials.;
xml sapiens; XML Sapiens � a paradigm of the managed sites building, a way for the independent aspects� effective integration: data, design, and functionality.<br /><br />This integration can be achieved by means of input of 3 basic meta-objects into the document:<br /><br /><br />container of managed content for the certain document (QC) <br />general container of content for a group of documents (SDC) <br />container of USE-case-oriented functionality script (DDC).; 
versioning;Versioning keeps dated or serialized copies of all the different versions of a piece of content. This allows the scheduling of content on and off the web. <br /><br />It also allows Rollback of content (perhaps even the whole website) to a previous version. Old versions become an Archive of content. ;
personalization;Personalization may be genuine OneToOneMarketing? in which the CMS serves content designed for each individual visitor. <br /><br />Amazon currently has the most powerful personalized portal on the web. It uses every past purchase, and products browsed, to form a pattern on which to base purchase recommendations. ;
localization; Software localization is a process of translating software user interfaces from one language to another and adapting it to suit a foreign culture. This process is labor-intensive and often requires significant efforts from development teams. There are tools that can simplify the localization process. A lot of these projects get outsourced to specialized companies to cut costs.;
security;Application Security encompasses measures taken to prevent exceptions in the security policy of an application or the underlying system (vulnerabilities) through flaws in the design, development, or deployment of the application.<br /><br />Applications only control the use of resources granted to them, and not which resources are granted to them. They, in turn, determine the use of these resources by users of the application through application security.;
staging server;A Staging Server is used in Content Management development to test (do QA - QualityAnalysis) on content before it is deployed to a production or Delivery server. <br /><br />It should have all the same characteristics as the delivery server (whether dynamic and fried or static and baked, which is sometimes very difficult to achieve. ;
delivery;Delivery is another term for the third phase in the Content Life Cycle, where a CMS publishes the pages (serves them to website visitors or sends them to print production). <br /><br />The delivery servers are sometimes called production servers, which is often confused with the production of content (usually called development) in the first Content Creation phase of the content Life Cycle. ;
